,Unnamed: 0,Sno,Zone,State,City,Name,Type,Establishment Year,time needed to visit in hrs,Google review rating,Entrance Fee in INR,Airport with 50km Radius,Weekly Off,Significance,DSLR Allowed,Number of google review in lakhs,Best Time to visit,State Description,longitude,latitude,loc_clusters,img,,,,,,,,,,,,,,,,,,,,,name,,,,,latitude,,longitude
0,0,0,Northern,Delhi,Delhi,India Gate,War Memorial,1921,0.5,4.6,0,Yes,,Historical,Yes,2.6,Evening,The capital city with a mix of ancient and modern attractions.,77.2507,28.6129,3,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSfX-3ako7xK6ko-2vzcJLvRAdy3Ppy2t3Mbz9qHHtcZ55oxuYVji_81GKfDg&s,,,,,,,,,,,,,,,,,,,,,India Gate,,,,,0,,
1,1,1,Northern,Delhi,Delhi,Humayun's Tomb,Tomb,1572,2,4.5,30,Yes,,Historical,Yes,0.4,Afternoon,The capital city with a mix of ancient and modern attractions.,77.2773,28.5933,3,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQwPYB4fMXSdtAPAGsXaZ0OkoydcthwbsKJmhwLI4mVZ3AV_dd1WEhrTPClmTg&s,,,,,,,,,,,,,,,,,,,,,Humayun's Tomb,,,,,28.5933,,77.2507
2,2,2,Northern,Delhi,Delhi,Akshardham Temple,Temple,2005,5,4.6,60,Yes,,Religious,No,0.4,Afternoon,The capital city with a mix of ancient and modern attractions.,77.257,28.6127,3,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRUZhHwFK5Ivvn6u8w75BbnhANhOe7d2FDSmW_ELX2kVL0duJCtRRfFRhtkCSc&s,,,,,,,,,,,,,,,,,,,,,Akshardham Temple,,,,,28.6127,,77.2773
3,3,3,Northern,Delhi,Delhi,Waste to Wonder Park,Theme Park,2019,2,4.1,50,Yes,Monday,Environmental,Yes,0.27,Evening,The capital city with a mix of ancient and modern attractions.,77.2166,28.5927,3,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQCkqAslpKesAZ_-uL09LXCxlH0-7EqmxfsWey3jKLFJV7pOz0huA20b6-mTQ&s,,,,,,,,,,,,,,,,,,,,,Waste to Wonder Park,,,,,28.5927,,77.257
4,4,4,Northern,Delhi,Delhi,Jantar Mantar,Observatory,1724,2,4.2,15,Yes,,Scientific,Yes,0.31,Morning,The capital city with a mix of ancient and modern attractions.,77.2303,28.6271,3,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR1oO7Js5pbwD59h1plTCXENvmP6zJ6TBSaDd5aJ5y4goh5egfnq36FnQ16IOk&s,,,,,,,,,,,,,,,,,,,,,Jantar Mantar,,,,,28.6271,,77.2166
5,5,5,Northern,Delhi,Delhi,Chandni Chowk,Market,1700,3,4.2,0,Yes,Sunday,Market,Yes,0.25,Afternoon,The capital city with a mix of ancient and modern attractions.,77.2588,28.6505,3,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRM5A6711VZOU-UBEoNkWjJrGzKocz3UYh6JkcdN3tN517L-AjOdznvib2k76c&s,,,,,,,,,,,,,,,,,,,,,Chandni Chowk,,,,,28.6505,,77.2303
6,6,6,Northern,Delhi,Delhi,Lotus Temple,Temple,1986,1,4.5,0,Yes,Monday,Religious,Yes,0.59,Evening,The capital city with a mix of ancient and modern attractions.,77.241,28.5535,3,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS4O2-qAEK-gP5tNLeIpu1dEIDccr5rK6LZg2BEvUiA-ovpusNN-qxqgN2FsA&s,,,,,,,,,,,,,,,,,,,,,Lotus Temple,,,,,28.5535,,77.2588
7,7,7,Northern,Delhi,Delhi,Red Fort,Fort,1648,2,4.5,35,Yes,,Historical,Yes,1.5,Afternoon,The capital city with a mix of ancient and modern attractions.,77.225,28.6562,3,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTCpATL3xII3bZUwoTOv6svyRzqS1wYzNy9U0JQ3NnOyviQGvJqXhVMH7_5LA&s,,,,,,,,,,,,,,,,,,,,,Red Fort,,,,,28.6562,,77.241
8,8,8,Northern,Delhi,Delhi,Agrasen ki Baoli,Stepwell,1400,1,4.2,0,Yes,,Historical,Yes,0.41,Afternoon,The capital city with a mix of ancient and modern attractions.,77.2452,28.6261,3,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSHYfBuS1FINiql0ClbZZ9CZQhoJ4hUSTbes5ONvNpkLsxywymJ-5i_bCC6Hg&s,,,,,,,,,,,,,,,,,,,,,Agrasen ki Baoli,,,,,28.6261,,77.225
9,9,9,Northern,Delhi,Delhi,Sunder Nursery,Park,1600,2,4.6,0,Yes,,Botanical,Yes,0.16,Afternoon,The capital city with a mix of ancient and modern attractions.,77.1975,28.5956,3,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTEmZxePASiZKxdFUwpfGybLuqFdvd3SMecUdM3GqVhuOyt084_R45rTahM2g&s,,,,,,,,,,,,,,,,,,,,,Sunder Nursery,,,,,28.5956,,77.2452
10,10,10,Northern,Delhi,Delhi,Garden of Five Senses,Park,2003,2,4.1,35,Yes,,Botanical,Yes,0.23,Morning,The capital city with a mix of ancient and modern attractions.,77.2197,28.5134,3,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTBaoVGOagSzZbXuiY9PCjhDzuBLfc8jLNLYr89bRCY3NtGhYmqN2SrZelL8hQ&s,,,,,,,,,,,,,,,,,,,,,Garden of Five Senses,,,,,28.5134,,77.1975
