,Sno,Zone,State,City,Name,Type,Establishment Year,time needed to visit in hrs,Google review rating,Entrance Fee in INR,Airport with 50km Radius,Weekly Off,Significance,DSLR Allowed,Number of google review in lakhs,Best Time to visit,State Description,longitude,latitude,loc_clusters,img
0,0,Northern,Delhi,Delhi,India Gate,War Memorial,1921,0.5,4.6,0,Yes,,Historical,Yes,2.6,Evening,The capital city with a mix of ancient and modern attractions.,77.1716954,28.6273928,3,static/img/delhi.jpg
1,1,Northern,Delhi,Delhi,Humayun's Tomb,Tomb,1572,2,4.5,30,Yes,,Historical,Yes,0.4,Afternoon,The capital city with a mix of ancient and modern attractions.,77.1716954,28.6273928,3,static/img/delhi.jpg
2,2,Northern,Delhi,Delhi,Akshardham Temple,Temple,2005,5,4.6,60,Yes,,Religious,No,0.4,Afternoon,The capital city with a mix of ancient and modern attractions.,77.1716954,28.6273928,3,static/img/delhi.jpg
3,3,Northern,Delhi,Delhi,Waste to Wonder Park,Theme Park,2019,2,4.1,50,Yes,Monday,Environmental,Yes,0.27,Evening,The capital city with a mix of ancient and modern attractions.,77.1716954,28.6273928,3,static/img/delhi.jpg
4,4,Northern,Delhi,Delhi,Jantar Mantar,Observatory,1724,2,4.2,15,Yes,,Scientific,Yes,0.31,Morning,The capital city with a mix of ancient and modern attractions.,77.1716954,28.6273928,3,static/img/delhi.jpg
5,5,Northern,Delhi,Delhi,Chandni Chowk,Market,1700,3,4.2,0,Yes,Sunday,Market,Yes,0.25,Afternoon,The capital city with a mix of ancient and modern attractions.,77.1716954,28.6273928,3,static/img/delhi.jpg
6,6,Northern,Delhi,Delhi,Lotus Temple,Temple,1986,1,4.5,0,Yes,Monday,Religious,Yes,0.59,Evening,The capital city with a mix of ancient and modern attractions.,77.1716954,28.6273928,3,static/img/delhi.jpg
7,7,Northern,Delhi,Delhi,Red Fort,Fort,1648,2,4.5,35,Yes,,Historical,Yes,1.5,Afternoon,The capital city with a mix of ancient and modern attractions.,77.1716954,28.6273928,3,static/img/delhi.jpg
8,8,Northern,Delhi,Delhi,Agrasen ki Baoli,Stepwell,1400,1,4.2,0,Yes,,Historical,Yes,0.41,Afternoon,The capital city with a mix of ancient and modern attractions.,77.1716954,28.6273928,3,static/img/delhi.jpg
9,9,Northern,Delhi,Delhi,Sunder Nursery,Park,1600,2,4.6,0,Yes,,Botanical,Yes,0.16,Afternoon,The capital city with a mix of ancient and modern attractions.,77.1716954,28.6273928,3,static/img/delhi.jpg
10,10,Northern,Delhi,Delhi,Garden of Five Senses,Park,2003,2,4.1,35,Yes,,Botanical,Yes,0.23,Morning,The capital city with a mix of ancient and modern attractions.,77.1716954,28.6273928,3,static/img/delhi.jpg
11,11,Northern,Delhi,Delhi,Lodhi Garden,Park,1500,1,4.5,0,Yes,,Botanical,Yes,0.48,All,The capital city with a mix of ancient and modern attractions.,77.1716954,28.6273928,3,static/img/delhi.jpg
12,12,Northern,Delhi,Delhi,National Gallery of Modern Art,Museum,1954,3,4.5,20,Yes,Monday,Artistic,Yes,0.08,All,The capital city with a mix of ancient and modern attractions.,77.1716954,28.6273928,3,static/img/delhi.jpg
13,13,Northern,Delhi,Delhi,National Zoological Park ,Zoo,1959,3,4.1,80,Yes,Friday,Environmental,Yes,0.41,All,The capital city with a mix of ancient and modern attractions.,77.1716954,28.6273928,3,static/img/delhi.jpg
14,14,Northern,Delhi,Delhi,Qutub Minar,Monument,1192,1,4.5,35,Yes,,Historical,Yes,1.37,Afternoon,The capital city with a mix of ancient and modern attractions.,77.1716954,28.6273928,3,static/img/delhi.jpg
15,15,Northern,Delhi,Delhi,National Science Centre,Science,1992,5,4.4,70,Yes,,Scientific,Yes,0.23,All,The capital city with a mix of ancient and modern attractions.,77.1716954,28.6273928,3,static/img/delhi.jpg
16,16,Western,Maharashtra,Mumbai,Marine Drive,Promenade,Unknown,2,4.5,0,Yes,,Scenic,Yes,1.5,Evening,"Home to Mumbai, the financial capital, and historical sites.",72.88662754,19.08157715,12,static/img/mumbai.jpg
17,17,Western,Maharashtra,Mumbai,Gateway of India,Monument,1924,1,4.6,0,Yes,,Historical,Yes,3.6,All,"Home to Mumbai, the financial capital, and historical sites.",72.88662754,19.08157715,12,static/img/mumbai.jpg
18,18,Western,Maharashtra,Mumbai,Chhatrapati Shivaji Maharaj Vastu Sangrahalaya,Museum,1922,1,4.6,500,Yes,,Historical,Yes,0.34,All,"Home to Mumbai, the financial capital, and historical sites.",72.88662754,19.08157715,12,static/img/mumbai.jpg
19,19,Western,Maharashtra,Mumbai,Sanjay Gandhi National Park,National Park,1996,3,4.3,50,Yes,Monday,Wildlife,Yes,0.6,All,"Home to Mumbai, the financial capital, and historical sites.",72.88662754,19.08157715,12,static/img/mumbai.jpg
20,20,Western,Maharashtra,Mumbai,Siddhivinayak Temple,Temple,1881,2,4.8,0,Yes,,Religious,No,1.05,All,"Home to Mumbai, the financial capital, and historical sites.",72.88662754,19.08157715,12,static/img/mumbai.jpg
21,21,Western,Maharashtra,Mumbai,Mahalaxmi Temple,Temple,1831,1,4.7,0,Yes,,Religious,No,0.33,All,"Home to Mumbai, the financial capital, and historical sites.",72.88662754,19.08157715,12,static/img/mumbai.jpg
22,22,Western,Maharashtra,Mumbai,Haji Ali Dargah,Religious Shrine,1431,2,4.4,0,Yes,,Religious,No,0.16,All,"Home to Mumbai, the financial capital, and historical sites.",72.88662754,19.08157715,12,static/img/mumbai.jpg
23,23,Western,Maharashtra,Mumbai,Chowpatty Beach,Beach,Unknown,2,4.3,0,Yes,,Recreational,Yes,0.05,Evening,"Home to Mumbai, the financial capital, and historical sites.",72.88662754,19.08157715,12,static/img/mumbai.jpg
24,24,Western,Maharashtra,Mumbai,Essel World,Amusement Park,1986,5,4.3,1149,Yes,,Recreational,Yes,0.27,All,"Home to Mumbai, the financial capital, and historical sites.",72.88662754,19.08157715,12,static/img/mumbai.jpg
25,25,Western,Maharashtra,Mumbai,Elephanta Caves,Monument,1987,4,4.3,550,Yes,,Historical,Yes,0.35,All ,"Home to Mumbai, the financial capital, and historical sites.",72.88662754,19.08157715,12,static/img/mumbai.jpg
