,Unnamed: 0.1,Unnamed: 0,Sno,Zone,State,City,Name,Type,Establishment Year,time needed to visit in hrs,Google review rating,Entrance Fee in INR,Airport with 50km Radius,Weekly Off,Significance,DSLR Allowed,Number of google review in lakhs,Best Time to visit,State Description,longitude,latitude,loc_clusters,img,Season,Season Code
0,0,0,0,Northern,Delhi,Delhi,India Gate,War Memorial,1921,0.5,4.6,0,Yes,,Historical,Yes,2.6,Evening,The capital city with a mix of ancient and modern attractions.,77.1716954,28.6273928,3.0,https://tse2.mm.bing.net/th?id=OIP.6fDbI16T_8xI0fXEMI-_LQHaJ4&pid=Api&P=0&w=300&h=300,Winter,W
1,1,1,1,Northern,Delhi,Delhi,Humayun's Tomb,Tomb,1572,2.0,4.5,30,Yes,,Historical,Yes,0.4,Afternoon,The capital city with a mix of ancient and modern attractions.,77.1716954,28.6273928,3.0,https://tse1.mm.bing.net/th?id=OIP.A6nJxfc8M5B_ec7WzCxGWQHaE7&pid=Api&P=0&w=300&h=300,Winter,W
2,2,2,2,Northern,Delhi,Delhi,Akshardham Temple,Temple,2005,5.0,4.6,60,Yes,,Religious,No,0.4,Afternoon,The capital city with a mix of ancient and modern attractions.,77.1716954,28.6273928,3.0,https://tse4.mm.bing.net/th?id=OIP.LNd7f7FQTM5nKhngh_2FewHaE7&pid=Api&P=0&w=300&h=300,Winter,W
3,3,3,3,Northern,Delhi,Delhi,Waste to Wonder Park,Theme Park,2019,2.0,4.1,50,Yes,Monday,Environmental,Yes,0.27,Evening,The capital city with a mix of ancient and modern attractions.,77.1716954,28.6273928,3.0,https://tse2.mm.bing.net/th?id=OIP.ltliQ71NbtEgBly-oIxMlAHaEK&pid=Api&P=0&w=300&h=300,Winter,W
4,4,4,4,Northern,Delhi,Delhi,Jantar Mantar,Observatory,1724,2.0,4.2,15,Yes,,Scientific,Yes,0.31,Morning,The capital city with a mix of ancient and modern attractions.,77.1716954,28.6273928,3.0,https://tse4.mm.bing.net/th?id=OIP.5jd3LyTclRSkEawSOf2hdQHaE7&pid=Api&P=0&w=300&h=300,Winter,W
5,5,5,5,Northern,Delhi,Delhi,Chandni Chowk,Market,1700,3.0,4.2,0,Yes,Sunday,Market,Yes,0.25,Afternoon,The capital city with a mix of ancient and modern attractions.,77.1716954,28.6273928,3.0,https://tse1.mm.bing.net/th?id=OIP.2ArS1wEPaK2NS0bEcTBh0AHaEK&pid=Api&P=0&w=300&h=300,Winter,W
6,6,6,6,Northern,Delhi,Delhi,Lotus Temple,Temple,1986,1.0,4.5,0,Yes,Monday,Religious,Yes,0.59,Evening,The capital city with a mix of ancient and modern attractions.,77.1716954,28.6273928,3.0,https://tse1.mm.bing.net/th?id=OIP.qbDScxtxlalOEtf35US84wHaE9&pid=Api&P=0&w=300&h=300,Winter,W
7,7,7,7,Northern,Delhi,Delhi,Red Fort,Fort,1648,2.0,4.5,35,Yes,,Historical,Yes,1.5,Afternoon,The capital city with a mix of ancient and modern attractions.,77.1716954,28.6273928,3.0,https://tse1.mm.bing.net/th?id=OIP.5lwJYoM-XPc0H-uratuG5gHaHa&pid=Api&P=0&w=300&h=300,Winter,W
8,8,8,8,Northern,Delhi,Delhi,Agrasen ki Baoli,Stepwell,1400,1.0,4.2,0,Yes,,Historical,Yes,0.41,Afternoon,The capital city with a mix of ancient and modern attractions.,77.1716954,28.6273928,3.0,https://tse4.mm.bing.net/th?id=OIP.Nw5GOwEWzUm2xxV9cvGhSAHaDt&pid=Api&P=0&w=300&h=300,Winter,W
9,9,9,9,Northern,Delhi,Delhi,Sunder Nursery,Park,1600,2.0,4.6,0,Yes,,Botanical,Yes,0.16,Afternoon,The capital city with a mix of ancient and modern attractions.,77.1716954,28.6273928,3.0,https://tse1.mm.bing.net/th?id=OIP.kwY_8wtILDPMnm7YaPNe7AHaE8&pid=Api&P=0&w=300&h=300,Winter,W
10,10,10,10,Northern,Delhi,Delhi,Garden of Five Senses,Park,2003,2.0,4.1,35,Yes,,Botanical,Yes,0.23,Morning,The capital city with a mix of ancient and modern attractions.,77.1716954,28.6273928,3.0,https://tse2.mm.bing.net/th?id=OIP.rUsYtj_CzDbU4Dee8ilv_AHaFA&pid=Api&P=0&w=300&h=300,Winter,W
11,11,11,11,Northern,Delhi,Delhi,Lodhi Garden,Park,1500,1.0,4.5,0,Yes,,Botanical,Yes,0.48,All,The capital city with a mix of ancient and modern attractions.,77.1716954,28.6273928,3.0,https://tse2.mm.bing.net/th?id=OIP.mNs7LWXRnX0Cg5K-b4Jb7wHaE8&pid=Api&P=0&w=300&h=300,Winter,W
12,12,12,12,Northern,Delhi,Delhi,National Gallery of Modern Art,Museum,1954,3.0,4.5,20,Yes,Monday,Artistic,Yes,0.08,All,The capital city with a mix of ancient and modern attractions.,77.1716954,28.6273928,3.0,https://tse2.mm.bing.net/th?id=OIP.3Nh4ysusLcHPqjMcL2FSOQHaEc&pid=Api&P=0&w=300&h=300,Winter,W
13,13,13,13,Northern,Delhi,Delhi,National Zoological Park ,Zoo,1959,3.0,4.1,80,Yes,Friday,Environmental,Yes,0.41,All,The capital city with a mix of ancient and modern attractions.,77.1716954,28.6273928,3.0,https://tse4.mm.bing.net/th?id=OIP.4hoJhK9yTNl5TjVhDOPxugHaEk&pid=Api&P=0&w=300&h=300,Winter,W
14,14,14,14,Northern,Delhi,Delhi,Qutub Minar,Monument,1192,1.0,4.5,35,Yes,,Historical,Yes,1.37,Afternoon,The capital city with a mix of ancient and modern attractions.,77.1716954,28.6273928,3.0,https://tse1.mm.bing.net/th?id=OIP.YbZCVYBL-eK34RdBao8_dAHaJ4&pid=Api&P=0&w=300&h=300,Winter,W
