,Unnamed: 0,Sno,Zone,State,City,Name,Type,Establishment Year,time needed to visit in hrs,Google review rating,Entrance Fee in INR,Airport with 50km Radius,Weekly Off,Significance,DSLR Allowed,Number of google review in lakhs,Best Time to visit,State Description,longitude,latitude,loc_clusters,img
0,0,0,Northern,Delhi,Delhi,India Gate,War Memorial,1921,0.5,4.6,0,Yes,,Historical,Yes,2.6,Evening,The capital city with a mix of ancient and modern attractions.,77.1716954,28.6273928,3.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSfX-3ako7xK6ko-2vzcJLvRAdy3Ppy2t3Mbz9qHHtcZ55oxuYVji_81GKfDg&s
1,1,1,Northern,Delhi,Delhi,Humayun's Tomb,Tomb,1572,2.0,4.5,30,Yes,,Historical,Yes,0.4,Afternoon,The capital city with a mix of ancient and modern attractions.,77.1716954,28.6273928,3.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQwPYB4fMXSdtAPAGsXaZ0OkoydcthwbsKJmhwLI4mVZ3AV_dd1WEhrTPClmTg&s
2,2,2,Northern,Delhi,Delhi,Akshardham Temple,Temple,2005,5.0,4.6,60,Yes,,Religious,No,0.4,Afternoon,The capital city with a mix of ancient and modern attractions.,77.1716954,28.6273928,3.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRUZhHwFK5Ivvn6u8w75BbnhANhOe7d2FDSmW_ELX2kVL0duJCtRRfFRhtkCSc&s
3,3,3,Northern,Delhi,Delhi,Waste to Wonder Park,Theme Park,2019,2.0,4.1,50,Yes,Monday,Environmental,Yes,0.27,Evening,The capital city with a mix of ancient and modern attractions.,77.1716954,28.6273928,3.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQCkqAslpKesAZ_-uL09LXCxlH0-7EqmxfsWey3jKLFJV7pOz0huA20b6-mTQ&s
4,4,4,Northern,Delhi,Delhi,Jantar Mantar,Observatory,1724,2.0,4.2,15,Yes,,Scientific,Yes,0.31,Morning,The capital city with a mix of ancient and modern attractions.,77.1716954,28.6273928,3.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR1oO7Js5pbwD59h1plTCXENvmP6zJ6TBSaDd5aJ5y4goh5egfnq36FnQ16IOk&s
5,5,5,Northern,Delhi,Delhi,Chandni Chowk,Market,1700,3.0,4.2,0,Yes,Sunday,Market,Yes,0.25,Afternoon,The capital city with a mix of ancient and modern attractions.,77.1716954,28.6273928,3.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRM5A6711VZOU-UBEoNkWjJrGzKocz3UYh6JkcdN3tN517L-AjOdznvib2k76c&s
6,6,6,Northern,Delhi,Delhi,Lotus Temple,Temple,1986,1.0,4.5,0,Yes,Monday,Religious,Yes,0.59,Evening,The capital city with a mix of ancient and modern attractions.,77.1716954,28.6273928,3.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS4O2-qAEK-gP5tNLeIpu1dEIDccr5rK6LZg2BEvUiA-ovpusNN-qxqgN2FsA&s
7,7,7,Northern,Delhi,Delhi,Red Fort,Fort,1648,2.0,4.5,35,Yes,,Historical,Yes,1.5,Afternoon,The capital city with a mix of ancient and modern attractions.,77.1716954,28.6273928,3.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTCpATL3xII3bZUwoTOv6svyRzqS1wYzNy9U0JQ3NnOyviQGvJqXhVMH7_5LA&s
8,8,8,Northern,Delhi,Delhi,Agrasen ki Baoli,Stepwell,1400,1.0,4.2,0,Yes,,Historical,Yes,0.41,Afternoon,The capital city with a mix of ancient and modern attractions.,77.1716954,28.6273928,3.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSHYfBuS1FINiql0ClbZZ9CZQhoJ4hUSTbes5ONvNpkLsxywymJ-5i_bCC6Hg&s
9,9,9,Northern,Delhi,Delhi,Sunder Nursery,Park,1600,2.0,4.6,0,Yes,,Botanical,Yes,0.16,Afternoon,The capital city with a mix of ancient and modern attractions.,77.1716954,28.6273928,3.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTEmZxePASiZKxdFUwpfGybLuqFdvd3SMecUdM3GqVhuOyt084_R45rTahM2g&s
10,10,10,Northern,Delhi,Delhi,Garden of Five Senses,Park,2003,2.0,4.1,35,Yes,,Botanical,Yes,0.23,Morning,The capital city with a mix of ancient and modern attractions.,77.1716954,28.6273928,3.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTBaoVGOagSzZbXuiY9PCjhDzuBLfc8jLNLYr89bRCY3NtGhYmqN2SrZelL8hQ&s
11,11,11,Northern,Delhi,Delhi,Lodhi Garden,Park,1500,1.0,4.5,0,Yes,,Botanical,Yes,0.48,All,The capital city with a mix of ancient and modern attractions.,77.1716954,28.6273928,3.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSWsT9AXsnCx2TfoIZiE2TrchibBQCYhW7BIIO1pBCzNBdlcdB-PBh9iE5Zig&s
12,12,12,Northern,Delhi,Delhi,National Gallery of Modern Art,Museum,1954,3.0,4.5,20,Yes,Monday,Artistic,Yes,0.08,All,The capital city with a mix of ancient and modern attractions.,77.1716954,28.6273928,3.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTE6_a4o5dTdBqqyphB_LsXGhg1lEcAE8UTcSb2hjhdaJN2UodsfpdwoPsEJA&s
13,13,13,Northern,Delhi,Delhi,National Zoological Park ,Zoo,1959,3.0,4.1,80,Yes,Friday,Environmental,Yes,0.41,All,The capital city with a mix of ancient and modern attractions.,77.1716954,28.6273928,3.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQd-iSQGtZLVIk1lj51s4kYF2RqVg1UiBsttRb07l9hey5KTlpDMKuLL8SHWuk&s
14,14,14,Northern,Delhi,Delhi,Qutub Minar,Monument,1192,1.0,4.5,35,Yes,,Historical,Yes,1.37,Afternoon,The capital city with a mix of ancient and modern attractions.,77.1716954,28.6273928,3.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS6I_FJAV4ROcuF9GCiGS3KY3FhOhfVxNg5hOkpeIKtMJVO-ZvLVw0JY2SpxIg&s
15,15,15,Northern,Delhi,Delhi,National Science Centre,Science,1992,5.0,4.4,70,Yes,,Scientific,Yes,0.23,All,The capital city with a mix of ancient and modern attractions.,77.1716954,28.6273928,3.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQw7sMSwJRNYmHbx-4bFb7dllst-g8bdd6kfBPcfX22whp4SPEWPQ5gE8fK7gw&s
16,16,16,Western,Maharashtra,Mumbai,Marine Drive,Promenade,Unknown,2.0,4.5,0,Yes,,Scenic,Yes,1.5,Evening,"Home to Mumbai, the financial capital, and historical sites.",72.88662754,19.08157715,12.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSO1ZxeNb_4Ggy_Wxmgtxl3pO-9mI4Ue221cpCfbSQa5IWMmrmrwBG8-0aXOJM&s
17,17,17,Western,Maharashtra,Mumbai,Gateway of India,Monument,1924,1.0,4.6,0,Yes,,Historical,Yes,3.6,All,"Home to Mumbai, the financial capital, and historical sites.",72.88662754,19.08157715,12.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSNedGm6Xe_X1_zbyZ2cJDJyOPwm2JKxm736g85dQYFWVFxz1I_VeNA_uxCjMQ&s
18,18,18,Western,Maharashtra,Mumbai,Chhatrapati Shivaji Maharaj Vastu Sangrahalaya,Museum,1922,1.0,4.6,500,Yes,,Historical,Yes,0.34,All,"Home to Mumbai, the financial capital, and historical sites.",72.88662754,19.08157715,12.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQz8i0igxeCTnBFwKTJAByUgJeASBz-cMTZtIi1cEzXJTxK3wP6j4lt6B7p0w&s
19,19,19,Western,Maharashtra,Mumbai,Sanjay Gandhi National Park,National Park,1996,3.0,4.3,50,Yes,Monday,Wildlife,Yes,0.6,All,"Home to Mumbai, the financial capital, and historical sites.",72.88662754,19.08157715,12.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSDDl6F2tSKNla5_3bmLVof3yKyHv3DiqV1XaVU3-e4iaaV8lY0NJUy9Dn8Y8Y&s
20,20,20,Western,Maharashtra,Mumbai,Siddhivinayak Temple,Temple,1881,2.0,4.8,0,Yes,,Religious,No,1.05,All,"Home to Mumbai, the financial capital, and historical sites.",72.88662754,19.08157715,12.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTGOKXyBcVLBP7z-99PctxOeizmLadAKYcYoXgpNVX2nMy4E2-q_oudu2utMWA&s
21,21,21,Western,Maharashtra,Mumbai,Mahalaxmi Temple,Temple,1831,1.0,4.7,0,Yes,,Religious,No,0.33,All,"Home to Mumbai, the financial capital, and historical sites.",72.88662754,19.08157715,12.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSFyNMpDpCl5DwCg66n47IH0Ixjf1tqUvrCW1j-3Q-6nQJxVRjAmvrOClYT7w&s
22,22,22,Western,Maharashtra,Mumbai,Haji Ali Dargah,Religious Shrine,1431,2.0,4.4,0,Yes,,Religious,No,0.16,All,"Home to Mumbai, the financial capital, and historical sites.",72.88662754,19.08157715,12.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTRX9ovj6-KoZAfxVS-2VW9nbzB5xbF4ax4TgyVtMPHR-I0PNukVst90jzljw&s
23,23,23,Western,Maharashtra,Mumbai,Chowpatty Beach,Beach,Unknown,2.0,4.3,0,Yes,,Recreational,Yes,0.05,Evening,"Home to Mumbai, the financial capital, and historical sites.",72.88662754,19.08157715,12.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSpOhZf-NrLva3bzd7St4PYcYNs2lwztCxs7UY5ep-5hAOweDP_7misyxQ163I&s
24,24,24,Western,Maharashtra,Mumbai,Essel World,Amusement Park,1986,5.0,4.3,1149,Yes,,Recreational,Yes,0.27,All,"Home to Mumbai, the financial capital, and historical sites.",72.88662754,19.08157715,12.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQFemKIvLPA5HHiNcl-d_7gkWeB27cosFgJybyYqjHiDRzZJjHw2R9T3mQQeLQ&s
25,25,25,Western,Maharashtra,Mumbai,Elephanta Caves,Monument,1987,4.0,4.3,550,Yes,,Historical,Yes,0.35,All ,"Home to Mumbai, the financial capital, and historical sites.",72.88662754,19.08157715,12.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ565v3cGQZvpZEBvaIXGz_qswf_9OAzSVyj-dkBF_a2shqooGnvmHDpKv6hA&s
26,26,26,Western,Maharashtra,Lonavala,Imagicaa,Amusement Park,2013,5.0,1.4,1149,No,Monday,Recreational,Yes,0.95,All,"Home to Mumbai, the financial capital, and historical sites.",73.4016729,18.7548563,12.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR99QXy7jSm89I5vgDlp04GHgPnHjk7RmtgP5sk-xdBJrMSdTBVv_oLFs_XdQ&s
27,27,27,Southern,Karnataka,Bangalore,Bangalore Palace,Palace,1878,2.0,4.2,500,Yes,Monday,Historical,Yes,0.9,Morning,"Known for its IT hub Bengaluru, heritage sites, and coffee plantations.",77.62260004,12.98815675,18.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRxGHq0wgsy9S6RgB2-_5Zo6ZPQBd4n4N1nRDO4HROjHpdKMpltnDCPj7N87eI&s
28,28,28,Southern,Karnataka,Bangalore,Lalbagh Botanical Garden,Botanical Garden,1760,1.5,4.4,20,Yes,,Nature,Yes,1.5,Evening,"Known for its IT hub Bengaluru, heritage sites, and coffee plantations.",77.62260004,12.98815675,18.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSVrcoNADkd2gSvvDe8GOj_V_x8IRVJtKPNygnDo8xxJ95xQH6CZmvq4Gb304Y&s
29,29,29,Southern,Karnataka,Bangalore,Cubbon Park,Park,1870,1.0,4.4,0,Yes,,Nature,Yes,1.32,Morning,"Known for its IT hub Bengaluru, heritage sites, and coffee plantations.",77.62260004,12.98815675,18.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTdJJ1_CqyOGL3z7mbnmIico7GLms0WfU82PSRB0k6PAmfQHPXpGX9HsM8hSg&s
30,30,30,Southern,Karnataka,Bangalore,Vidhana Soudha,Government Building,1956,0.5,4.6,0,Yes,,Architectural,No,0.8,Morning,"Known for its IT hub Bengaluru, heritage sites, and coffee plantations.",77.62260004,12.98815675,18.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSFVLI1wq_dVE0z-de4AcjfTtdziWmdE-s7B7X91NVL_1V8NAuST7te0gy8aHk&s
31,31,31,Southern,Karnataka,Bangalore,ISKCON Temple Bangalore,Temple,1997,1.0,4.6,0,Yes,,Religious,Yes,1.14,Evening,"Known for its IT hub Bengaluru, heritage sites, and coffee plantations.",77.62260004,12.98815675,18.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR87L7qv59JhnP83iw1RjYhppqzJwXTDqpWad_-SLbWYaoxJeSLIVx1lz2-bQc&s
