Sno,Unnamed: 0,Zone,State,City,Name,Type,Establishment Year,time needed to visit in hrs,Google review rating,Entrance Fee in INR,Airport with 50km Radius,Weekly Off,Significance,DSLR Allowed,Number of google review in lakhs,Best Time to visit,State Description,longitude,latitude,loc_clusters
0,0,Northern,Delhi,Delhi,India Gate,War Memorial,1921,0.5,4.6,0,Yes,,Historical,Yes,2.6,Evening,The capital city with a mix of ancient and modern attractions.,77.1716954,28.6273928,1
1,1,Northern,Delhi,Delhi,Humayun's Tomb,Tomb,1572,2,4.5,30,Yes,,Historical,Yes,0.4,Afternoon,The capital city with a mix of ancient and modern attractions.,77.1716954,28.6273928,1
2,2,Northern,Delhi,Delhi,Akshardham Temple,Temple,2005,5,4.6,60,Yes,,Religious,No,0.4,Afternoon,The capital city with a mix of ancient and modern attractions.,77.1716954,28.6273928,1
3,3,Northern,Delhi,Delhi,Waste to Wonder Park,Theme Park,2019,2,4.1,50,Yes,Monday,Environmental,Yes,0.27,Evening,The capital city with a mix of ancient and modern attractions.,77.1716954,28.6273928,1
4,4,Northern,Delhi,Delhi,Jantar Mantar,Observatory,1724,2,4.2,15,Yes,,Scientific,Yes,0.31,Morning,The capital city with a mix of ancient and modern attractions.,77.1716954,28.6273928,1
5,5,Northern,Delhi,Delhi,Chandni Chowk,Market,1700,3,4.2,0,Yes,Sunday,Market,Yes,0.25,Afternoon,The capital city with a mix of ancient and modern attractions.,77.1716954,28.6273928,1
6,6,Northern,Delhi,Delhi,Lotus Temple,Temple,1986,1,4.5,0,Yes,Monday,Religious,Yes,0.59,Evening,The capital city with a mix of ancient and modern attractions.,77.1716954,28.6273928,1
7,7,Northern,Delhi,Delhi,Red Fort,Fort,1648,2,4.5,35,Yes,,Historical,Yes,1.5,Afternoon,The capital city with a mix of ancient and modern attractions.,77.1716954,28.6273928,1
8,8,Northern,Delhi,Delhi,Agrasen ki Baoli,Stepwell,1400,1,4.2,0,Yes,,Historical,Yes,0.41,Afternoon,The capital city with a mix of ancient and modern attractions.,77.1716954,28.6273928,1
9,9,Northern,Delhi,Delhi,Sunder Nursery,Park,1600,2,4.6,0,Yes,,Botanical,Yes,0.16,Afternoon,The capital city with a mix of ancient and modern attractions.,77.1716954,28.6273928,1
10,10,Northern,Delhi,Delhi,Garden of Five Senses,Park,2003,2,4.1,35,Yes,,Botanical,Yes,0.23,Morning,The capital city with a mix of ancient and modern attractions.,77.1716954,28.6273928,1
11,11,Northern,Delhi,Delhi,Lodhi Garden,Park,1500,1,4.5,0,Yes,,Botanical,Yes,0.48,All,The capital city with a mix of ancient and modern attractions.,77.1716954,28.6273928,1
12,12,Northern,Delhi,Delhi,National Gallery of Modern Art,Museum,1954,3,4.5,20,Yes,Monday,Artistic,Yes,0.08,All,The capital city with a mix of ancient and modern attractions.,77.1716954,28.6273928,1
13,13,Northern,Delhi,Delhi,National Zoological Park ,Zoo,1959,3,4.1,80,Yes,Friday,Environmental,Yes,0.41,All,The capital city with a mix of ancient and modern attractions.,77.1716954,28.6273928,1
14,14,Northern,Delhi,Delhi,Qutub Minar,Monument,1192,1,4.5,35,Yes,,Historical,Yes,1.37,Afternoon,The capital city with a mix of ancient and modern attractions.,77.1716954,28.6273928,1
15,15,Northern,Delhi,Delhi,National Science Centre,Science,1992,5,4.4,70,Yes,,Scientific,Yes,0.23,All,The capital city with a mix of ancient and modern attractions.,77.1716954,28.6273928,1
16,16,Western,Maharashtra,Mumbai,Marine Drive,Promenade,Unknown,2,4.5,0,Yes,,Scenic,Yes,1.5,Evening,"Home to Mumbai, the financial capital, and historical sites.",75.6741579,18.9068356,0
17,17,Western,Maharashtra,Mumbai,Gateway of India,Monument,1924,1,4.6,0,Yes,,Historical,Yes,3.6,All,"Home to Mumbai, the financial capital, and historical sites.",75.6741579,18.9068356,0
18,18,Western,Maharashtra,Mumbai,Chhatrapati Shivaji Maharaj Vastu Sangrahalaya,Museum,1922,1,4.6,500,Yes,,Historical,Yes,0.34,All,"Home to Mumbai, the financial capital, and historical sites.",75.6741579,18.9068356,0
19,19,Western,Maharashtra,Mumbai,Sanjay Gandhi National Park,National Park,1996,3,4.3,50,Yes,Monday,Wildlife,Yes,0.6,All,"Home to Mumbai, the financial capital, and historical sites.",75.6741579,18.9068356,0
20,20,Western,Maharashtra,Mumbai,Siddhivinayak Temple,Temple,1881,2,4.8,0,Yes,,Religious,No,1.05,All,"Home to Mumbai, the financial capital, and historical sites.",75.6741579,18.9068356,0
21,21,Western,Maharashtra,Mumbai,Mahalaxmi Temple,Temple,1831,1,4.7,0,Yes,,Religious,No,0.33,All,"Home to Mumbai, the financial capital, and historical sites.",75.6741579,18.9068356,0
22,22,Western,Maharashtra,Mumbai,Haji Ali Dargah,Religious Shrine,1431,2,4.4,0,Yes,,Religious,No,0.16,All,"Home to Mumbai, the financial capital, and historical sites.",75.6741579,18.9068356,0
23,23,Western,Maharashtra,Mumbai,Chowpatty Beach,Beach,Unknown,2,4.3,0,Yes,,Recreational,Yes,0.05,Evening,"Home to Mumbai, the financial capital, and historical sites.",75.6741579,18.9068356,0
24,24,Western,Maharashtra,Mumbai,Essel World,Amusement Park,1986,5,4.3,1149,Yes,,Recreational,Yes,0.27,All,"Home to Mumbai, the financial capital, and historical sites.",75.6741579,18.9068356,0
25,25,Western,Maharashtra,Mumbai,Elephanta Caves,Monument,1987,4,4.3,550,Yes,,Historical,Yes,0.35,All ,"Home to Mumbai, the financial capital, and historical sites.",75.6741579,18.9068356,0
26,26,Western,Maharashtra,Lonavala,Imagicaa,Amusement Park,2013,5,1.4,1149,No,Monday,Recreational,Yes,0.95,All,"Home to Mumbai, the financial capital, and historical sites.",75.6741579,18.9068356,0
27,27,Southern,Karnataka,Bangalore,Bangalore Palace,Palace,1878,2,4.2,500,Yes,Monday,Historical,Yes,0.9,Morning,"Known for its IT hub Bengaluru, heritage sites, and coffee plantations.",75.7223521,14.5203896,4
28,28,Southern,Karnataka,Bangalore,Lalbagh Botanical Garden,Botanical Garden,1760,1.5,4.4,20,Yes,,Nature,Yes,1.5,Evening,"Known for its IT hub Bengaluru, heritage sites, and coffee plantations.",75.7223521,14.5203896,4
29,29,Southern,Karnataka,Bangalore,Cubbon Park,Park,1870,1,4.4,0,Yes,,Nature,Yes,1.32,Morning,"Known for its IT hub Bengaluru, heritage sites, and coffee plantations.",75.7223521,14.5203896,4
30,30,Southern,Karnataka,Bangalore,Vidhana Soudha,Government Building,1956,0.5,4.6,0,Yes,,Architectural,No,0.8,Morning,"Known for its IT hub Bengaluru, heritage sites, and coffee plantations.",75.7223521,14.5203896,4
31,31,Southern,Karnataka,Bangalore,ISKCON Temple Bangalore,Temple,1997,1,4.6,0,Yes,,Religious,Yes,1.14,Evening,"Known for its IT hub Bengaluru, heritage sites, and coffee plantations.",75.7223521,14.5203896,4
32,32,Southern,Telangana,Hyderabad,Charminar,Landmark,1591,1,4.5,25,Yes,Friday,Historical,Yes,2.1,Morning,Home to historic Hyderabad and the Charminar.,79.1151663,17.8495919,0
33,33,Southern,Telangana,Hyderabad,Golconda Fort,Fort,1600,2,4.4,30,Yes,,Historical,Yes,1.2,Morning,Home to historic Hyderabad and the Charminar.,79.1151663,17.8495919,0
34,34,Southern,Telangana,Hyderabad,Hussain Sagar Lake,Lake,1563,1,4.3,0,Yes,,Scenic,Yes,0.5,Evening,Home to historic Hyderabad and the Charminar.,79.1151663,17.8495919,0
35,35,Southern,Telangana,Hyderabad,Ramoji Film City,Film Studio,1996,4,4.4,1150,Yes,,Entertainment,Yes,0.45,All,Home to historic Hyderabad and the Charminar.,79.1151663,17.8495919,0
36,36,Southern,Telangana,Hyderabad,Salar Jung Museum,Museum,1951,2,4.4,20,Yes,,Historical,Yes,0.67,All,Home to historic Hyderabad and the Charminar.,79.1151663,17.8495919,0
37,37,Southern,Telangana,Hyderabad,Qutb Shahi Tombs,Tombs,1600,1,4.4,25,Yes,,Historical,Yes,0.2,Morning,Home to historic Hyderabad and the Charminar.,79.1151663,17.8495919,0
38,38,Southern,Telangana,Hyderabad,Birla Mandir,Temple,1976,1,4.7,0,Yes,,Religious,No,0.41,All,Home to historic Hyderabad and the Charminar.,79.1151663,17.8495919,0
39,39,Southern,Telangana,Hyderabad,Chowmahalla Palace,Palace,1800,1.5,4.4,80,Yes,,Historical,Yes,0.45,Morning,Home to historic Hyderabad and the Charminar.,79.1151663,17.8495919,0
40,40,Southern,Telangana,Hyderabad,Nehru Zoological Park,Zoo,1963,3,4.2,50,Yes,,Wildlife,Yes,0.86,Morning,Home to historic Hyderabad and the Charminar.,79.1151663,17.8495919,0
41,41,Southern,Telangana,Hyderabad,Lumbini Park,Park,1994,1,4.1,20,Yes,,Recreational,Yes,0.73,Evening,Home to historic Hyderabad and the Charminar.,79.1151663,17.8495919,0
42,42,Eastern,West Bengal,Kolkata,Victoria Memorial,Museum,1921,1.5,4.6,30,Yes,Monday,Historical,Yes,0.73,Morning,"Famous for Kolkata, the Sundarbans, and cultural festivals.",87.6855882,22.9964948,2
43,43,Eastern,West Bengal,Kolkata,Howrah Bridge,Bridge,1943,0.5,4.6,0,Yes,,Architectural,No,1.2,Anytime,"Famous for Kolkata, the Sundarbans, and cultural festivals.",87.6855882,22.9964948,2
44,44,Eastern,West Bengal,Kolkata,Indian Museum,Museum,1814,2,4.6,50,Yes,Monday,Historical,Yes,0.18,Morning,"Famous for Kolkata, the Sundarbans, and cultural festivals.",87.6855882,22.9964948,2
45,45,Eastern,West Bengal,Kolkata,Dakshineswar Kali Temple,Temple,1855,1,4.7,0,Yes,,Religious,Yes,0.82,Morning,"Famous for Kolkata, the Sundarbans, and cultural festivals.",87.6855882,22.9964948,2
46,46,Eastern,West Bengal,Kolkata,Kalighat Kali Temple,Temple,1809,1,4.4,0,Yes,,Religious,Yes,0.5,Morning,"Famous for Kolkata, the Sundarbans, and cultural festivals.",87.6855882,22.9964948,2
47,47,Eastern,West Bengal,Kolkata,Eden Gardens,Cricket Ground,1864,3,4.1,2500,Yes,,Sports,Yes,0.1,All,"Famous for Kolkata, the Sundarbans, and cultural festivals.",87.6855882,22.9964948,2
48,48,Eastern,West Bengal,Kolkata,Alipore Zoological Gardens,Zoo,1876,2,4.3,25,Yes,,Wildlife,Yes,0.66,Afternoon,"Famous for Kolkata, the Sundarbans, and cultural festivals.",87.6855882,22.9964948,2
49,49,Eastern,West Bengal,Kolkata,Science City Kolkata,Science,1997,3,4.4,60,Yes,,Educational,Yes,0.88,All,"Famous for Kolkata, the Sundarbans, and cultural festivals.",87.6855882,22.9964948,2
50,50,Eastern,West Bengal,Kolkata,Belur Math,Site,1898,1.5,4.7,0,Yes,,Religious,Yes,0.47,Morning,"Famous for Kolkata, the Sundarbans, and cultural festivals.",87.6855882,22.9964948,2
51,51,Eastern,West Bengal,Kolkata,Marble Palace,Palace,1835,1,4.4,0,Yes,,Historical,Yes,0.1,Afternoon,"Famous for Kolkata, the Sundarbans, and cultural festivals.",87.6855882,22.9964948,2
52,52,Southern,Goa,Goa,Calangute Beach,Beach,Unknown,2,4.4,0,Yes,,Scenic,Yes,0.26,Evening,"Renowned for its beaches, Portuguese architecture, and nightlife.",74.0855134,15.3004543,4
53,53,Southern,Goa,Goa,Basilica of Bom Jesus,Church,1605,1,4.5,0,Yes,,Historical,Yes,0.59,Afternoon,"Renowned for its beaches, Portuguese architecture, and nightlife.",74.0855134,15.3004543,4
54,54,Southern,Goa,Goa,Fort Aguada,Fort,1612,1.5,4.2,0,Yes,,Historical,Yes,0.95,Morning,"Renowned for its beaches, Portuguese architecture, and nightlife.",74.0855134,15.3004543,4
55,55,Southern,Goa,Goa,Dudhsagar Falls,Waterfall,Unknown,3,4.6,500,Yes,,Nature,Yes,0.3,Afternoon,"Renowned for its beaches, Portuguese architecture, and nightlife.",74.0855134,15.3004543,4
56,56,Southern,Goa,Goa,Anjuna Beach,Beach,Unknown,2,4.4,0,Yes,,Scenic,Yes,0.18,Evening,"Renowned for its beaches, Portuguese architecture, and nightlife.",74.0855134,15.3004543,4
57,57,Southern,Goa,Goa,Chapora Fort,Fort,1617,1,4.2,0,Yes,,Historical,Yes,0.19,Evening,"Renowned for its beaches, Portuguese architecture, and nightlife.",74.0855134,15.3004543,4
58,58,Southern,Goa,Goa,Se Cathedral,Church,1640,1,4.5,0,Yes,,Historical,Yes,0.05,Afternoon,"Renowned for its beaches, Portuguese architecture, and nightlife.",74.0855134,15.3004543,4
59,59,Southern,Goa,Goa,Baga Beach,Beach,Unknown,2,4.5,0,Yes,,Scenic,Yes,0.35,Evening,"Renowned for its beaches, Portuguese architecture, and nightlife.",74.0855134,15.3004543,4
60,60,Southern,Goa,Goa,Arambol Beach,Beach,Unknown,2,4.6,0,Yes,,Scenic,Yes,0.1,Evening,"Renowned for its beaches, Portuguese architecture, and nightlife.",74.0855134,15.3004543,4
61,61,Southern,Goa,Goa,Palolem Beach,Beach,Unknown,2,4.6,0,Yes,,Scenic,Yes,0.27,Evening,"Renowned for its beaches, Portuguese architecture, and nightlife.",74.0855134,15.3004543,4
62,62,Southern,Goa,Goa,Colva Beach,Beach,Unknown,2,4.3,0,Yes,,Scenic,Yes,0.1,Evening,"Renowned for its beaches, Portuguese architecture, and nightlife.",74.0855134,15.3004543,4
63,63,Southern,Goa,Goa,Miramar Beach,Beach,Unknown,1.5,4.2,0,Yes,,Scenic,Yes,0.3,Evening,"Renowned for its beaches, Portuguese architecture, and nightlife.",74.0855134,15.3004543,4
64,64,Southern,Goa,Goa,Aguada Beach,Beach,Unknown,2,4.5,0,Yes,,Scenic,Yes,0.01,Evening,"Renowned for its beaches, Portuguese architecture, and nightlife.",74.0855134,15.3004543,4
65,65,Southern,Goa,Goa,Dr. Salim Ali Bird Santuary,Bird Sanctuary,1988,2,3.9,10,Yes,,Wildlife,Yes,0.03,Afternoon,"Renowned for its beaches, Portuguese architecture, and nightlife.",74.0855134,15.3004543,4
66,66,Western,Gujarat,Ahmedabad,Sabarmati Ashram,Historical,1915,1.5,4.6,0,Yes,,Historical,Yes,0.35,Morning,"Home to the Gir National Park, temples, and the Rann of Kutch.",71.745261,22.3850051,3
67,67,Western,Gujarat,Dwarka,Dwarkadhish Temple,Temple,-400,2,4.7,0,No,,Religious,No,0.59,Evening,"Home to the Gir National Park, temples, and the Rann of Kutch.",71.745261,22.3850051,3
68,68,Western,Gujarat,Junagadh,Gir National Park,National Park,1965,3,4.5,3500,No,,Wildlife,Yes,0.08,Morning,"Home to the Gir National Park, temples, and the Rann of Kutch.",71.745261,22.3850051,3
69,69,Western,Gujarat,Bhuj,White Desert,Site,1950,2.5,4.6,0,Yes,,Nature,Yes,0.12,Evening,"Home to the Gir National Park, temples, and the Rann of Kutch.",71.745261,22.3850051,3
70,70,Western,Gujarat,Vadodara,Laxmi Vilas Palace,Palace,1890,2,4.4,200,Yes,Monday,Historical,Yes,0.17,Afternoon,"Home to the Gir National Park, temples, and the Rann of Kutch.",71.745261,22.3850051,3
71,71,Western,Gujarat,Somnath,Somnath Temple,Temple,1951,2,4.8,0,No,,Religious,No,0.39,Morning,"Home to the Gir National Park, temples, and the Rann of Kutch.",71.745261,22.3850051,3
72,72,Western,Gujarat,Rann of Kutch,Rann Utsav,Cultural,Unknown,3,4.9,7500,Yes,,Cultural,Yes,0.1,Evening,"Home to the Gir National Park, temples, and the Rann of Kutch.",71.745261,22.3850051,3
73,73,Western,Gujarat,Kevadia,Statue of Unity,Monument,2018,3,4.6,350,No,Monday,Historical,Yes,0.67,All,"Home to the Gir National Park, temples, and the Rann of Kutch.",71.745261,22.3850051,3
74,74,Western,Gujarat,Gandhinagar,Dandi Kutir,Museum,2013,1.5,4.5,0,No,,Historical,Yes,0.05,All,"Home to the Gir National Park, temples, and the Rann of Kutch.",71.745261,22.3850051,3
75,75,Western,Gujarat,Ahmedabad,Sabarmati Riverfront,Urban Development Project,2012,1,4.6,0,Yes,,Recreational,Yes,0.1,Evening,"Home to the Gir National Park, temples, and the Rann of Kutch.",71.745261,22.3850051,3
76,76,Western,Gujarat,Ahmedabad,Manek Chowk,Market,Unknown,2,4.4,0,Yes,,Food,Yes,0.49,Night,"Home to the Gir National Park, temples, and the Rann of Kutch.",71.745261,22.3850051,3
77,77,Western,Gujarat,Ahmedabad,Kankaria Lake,Lake,1451,3,4.5,10,Yes,,Recreational,Yes,0.3,Afternoon,"Home to the Gir National Park, temples, and the Rann of Kutch.",71.745261,22.3850051,3
78,78,Western,Gujarat,Ahmedabad,Science City,Science,2002,7,4.4,500,Yes,Monday,Educational,Yes,0.11,All,"Home to the Gir National Park, temples, and the Rann of Kutch.",71.745261,22.3850051,3
79,79,Northern,Rajasthan,Jaipur,Hawa Mahal,Palace,1799,1,4.4,50,Yes,,Architectural,Yes,1.3,Morning,"Desert state famous for its palaces, forts, and rich culture.",73.7684549,26.8105777,1
80,80,Northern,Rajasthan,Udaipur,City Palace,Palace,1559,2,4.4,300,Yes,,Historical,Yes,0.51,All,"Desert state famous for its palaces, forts, and rich culture.",73.7684549,26.8105777,1
81,81,Northern,Rajasthan,Jaisalmer,Jaisalmer Fort,Fort,1156,2.5,4.4,50,No,,Historical,Yes,0.56,All,"Desert state famous for its palaces, forts, and rich culture.",73.7684549,26.8105777,1
82,82,Northern,Rajasthan,Sawai Madhopur,Ranthambore National Park,Wildlife Sanctuary,1980,3,4.6,500,No,,Wildlife,Yes,0.09,All,"Desert state famous for its palaces, forts, and rich culture.",73.7684549,26.8105777,1
83,83,Northern,Rajasthan,Pushkar,Pushkar Lake,Temple,1400,1.5,4.4,0,No,,Religious,Yes,1.6,All,"Desert state famous for its palaces, forts, and rich culture.",73.7684549,26.8105777,1
84,84,Northern,Rajasthan,Ajmer,Ajmer Sharif Dargah,Shrine,1236,1,4.6,0,Yes,,Religious,No,0.35,All,"Desert state famous for its palaces, forts, and rich culture.",73.7684549,26.8105777,1
85,85,Northern,Rajasthan,Jodhpur,Mehrangarh Fort,Fort,1459,2,4.6,100,Yes,,Historical,Yes,0.64,All,"Desert state famous for its palaces, forts, and rich culture.",73.7684549,26.8105777,1
86,86,Northern,Rajasthan,Chittorgarh,Chittorgarh Fort,Fort,700,2,4.6,40,No,,Historical,Yes,1.9,All,"Desert state famous for its palaces, forts, and rich culture.",73.7684549,26.8105777,1
87,87,Northern,Rajasthan,Mount Abu,Dilwara Temples,Temple,1100,1,4.6,0,No,,Religious,No,0.05,All,"Desert state famous for its palaces, forts, and rich culture.",73.7684549,26.8105777,1
88,88,Northern,Rajasthan,Bikaner,Junagarh Fort,Fort,1589,2,4.5,50,Yes,,Historical,Yes,0.32,All,"Desert state famous for its palaces, forts, and rich culture.",73.7684549,26.8105777,1
89,89,Northern,Rajasthan,Jaipur,Amber Fort,Fort,1592,2,4.6,100,Yes,,Historical,Yes,1.5,All,"Desert state famous for its palaces, forts, and rich culture.",73.7684549,26.8105777,1
90,90,Northern,Rajasthan,Jaipur,Jaigarh Fort,Fort,1726,1.5,4.5,35,Yes,,Historical,Yes,0.3,All,"Desert state famous for its palaces, forts, and rich culture.",73.7684549,26.8105777,1
